Petia Georgieva Georgieva;0000-0002-6424-6590;6D1E-22DA-1F69;6701326860
Rui Fernando Gomes de Sousa Ribeiro;0000-0002-3961-5083;XPTO;36721725700
Rui Manuel Escadas Ramos Martins;0000-0002-1363-7794;XPTO;7202166212
Salviano Filipe Silva Pinto Soares;0000-0001-5862-5706;DF11-FF58-4F18;15066103400
Samuel Sousa Silva;0000-0002-9858-8249;8B1E-C1C3-D854;8557701700
Sérgio Guilherme Aleixo de Matos;0000-0003-1941-3983;4F1F-7BD8-AE4E;26031510200
Sónia Cristina Alexandre Gouveia;0000-0002-0375-7610;4D12-5210-C8CE;56364429600
Susana Manuela Martinho dos Santos Baía Brás;0000-0001-8650-9219;AF11-D232-B5B7;23974223300
Susana de Jesus Mota;0000-0002-0799-3629;XPTO;6603695680
Tomás António Mendes Oliveira e Silva;0000-0002-8878-3219;621C-34F2-E147;6602551035
Vitor Manuel Ferreira dos Santos;0000-0003-1283-7388;AC12-D4BA-9580;35616433200
